,classs,displayid,dps,flags2,id,level,name,reqlevel,slot,slotbak,speed,subclass,firstseenpatch,popularity,contentPhase,side,reqclass,armor,commondrop,reqrace
0,2,20320,20.53,8192,2912,32,5Claw of the Shadowmancer,27,13,13,1.90,15, 0,5394,1,,,,,
1,2,20312,33.89,8192,2164,45,4Gut Ripper,40,13,13,1.80,15, 0,5251,1,,,,,
2,2,20321,15.59,8192,5040,32,7Shadow Hunter Knife,27,13,13,1.70,15, 0,4985,1,,,,,
3,2,25613,45.59,8192,12590,63,4Felstriker,58,13,13,1.70,15, 0,4736,1,,,,,
4,2,24775,40.63,8192,13964,62,5Witchblade,57,13,13,1.60,15, 0,4529,1,,,,,
5,2,29957,34.33,8192,17780,54,4Blade of Eternal Darkness,49,21,21,1.50,15, 0,3964,1,,,,,
6,2,23248,41.47,8192,12783,63,5Heartseeker,58,13,13,1.70,15, 0,3754,1,,,,,
7,2,20318,26.79,8192,7714,39,5Hypnotic Blade,34,13,13,1.40,15, 0,3696,1,,,,,
8,2,25612,45.38,8192,14555,63,4Alcor's Sunrazor,58,13,13,1.30,15, 0,3618,1,,,,,
9,2,20291,38.93,8192,2163,53,4Shadowblade,48,13,13,1.40,15, 0,3498,1,,,,,
10,2,20471,15.53,8192,1935,24,5Assassin's Blade,19,13,13,1.90,15, 0,3099,1,,,,,
11,2,20380,31.58,8192,4091,47,5Widowmaker,42,13,13,1.90,15, 0,2983,1,,,,,
12,2,20572,29.67,8192,10761,44,5Coldrage Dagger,39,13,13,1.50,15, 0,2858,1,,,,,
13,2,23262,36.50,8192,12791,55,5Barman Shanker,50,21,21,2.00,15, 0,2494,1,,,,,
14,2,20536,18.33,8192,6220,29,5Meteor Shard,24,13,13,1.80,15, 0,2121,1,,,,,
15,2,22977,41.15,8192,12709,63,5Finkle's Skinner,58,21,21,1.30,15, 0,2092,1,,,,,
16,2,20591,25.00,8192,5756,37,5Sliverblade,32,13,13,1.40,15, 0,1997,1,,,,,
17,2,20292,29.67,8192,6831,44,5Black Menace,34,13,13,1.50,15, 0,1969,1,1,,,,
18,2,6555,17.65,8192,7682,34,5Torturing Poker,29,13,13,1.70,15, 0,1934,1,,,,,
19,2,33615,58.33,8192,18816,77,4Perdition's Blade,60,13,13,1.80,15, 0,1773,1,,,,,
20,2,20595,20.53,8192,9453,32,5Toxic Revenger,27,13,13,1.90,15, 0,1528,1,,,,,
21,2,13001,36.54,8192,6660,55,5Julie's Dagger,50,13,13,1.30,15, 0,1260,1,,,,,
22,2,20326,26.47,8192,8006,39,5The Ziggler,34,13,13,1.70,15, 0,1231,1,,,,,
23,2,12880,23.00,8192,6691,35,5Swinetusk Shank,30,13,13,1.50,15, 0,1192,1,,,,,
24,2,20392,9.41,8192,5093,21,7Razormane Backstabber,16,13,13,1.70,15, 0,1192,1,,,,,
25,2,29931,33.24,8192,17752,50,5Satyr's Lash,45,13,13,1.70,15, 0,1172,1,,,,,
26,2,20569,35.94,8192,10750,54,5Lifeforce Dirk,40,13,13,1.60,15, 0,1168,1,,,,,
27,2,33626,51.25,8192,18805,70,4Core Hound Tooth,60,13,13,1.60,15, 0,1155,1,,,,,
28,2,3363,41.33,8192,5267,63,5Scarlet Kris,58,13,13,1.50,15, 0,1152,1,,,,,
29,2,20345,16.33,8192,2236,25,5Blackfang,20,13,13,1.50,15, 0,1109,1,,,,,
30,2,28348,18.93,8192,15243,36,6Deadly Kris,31,13,13,1.40,15, 0,1008,1,,,,,
31,2,20341,15.25,8192,3336,29,6Flesh Piercer,24,13,13,2.00,15, 0,1004,1,,,,,
32,2,6452,19.23,8192,776,31,5Vendetta,26,13,13,1.30,15, 0,970,1,,,,,
33,2,31820,47.22,8192,19324,65,4The Lobotomizer,60,13,13,1.80,15, 0,964,3,,,,,
34,2,20359,16.67,8192,2941,26,5Prison Shank,21,13,13,1.80,15, 0,879,1,,,,,
35,2,20425,6.75,8192,7298,13,6Blade of Cunning,10,13,13,2.00,15, 0,859,1,,8,,,
36,2,20575,17.69,8192,6904,28,5Bite of Serra'kis,23,13,13,1.30,15, 0,807,1,,,,,
37,2,32592,34.62,8192,20035,52,5Glacial Spike,,13,13,1.30,15, 0,725,4,,,,,
38,2,20590,15.31,8192,2567,23,5Evocator's Blade,18,13,13,1.60,15, 0,722,1,,,,,
39,2,29872,35.94,8192,17710,54,5Charstone Dirk,49,21,21,1.60,15, 0,685,1,,,,,
40,2,20574,23.06,8192,9520,41,6Silent Hunter,30,13,13,1.80,15, 0,668,1,2,,,,
41,2,31606,42.50,8192,19100,65,5Electrified Dagger,60,13,13,1.80,15, 0,657,3,,,,,
42,2,35819,73.06,8192,22802,89,4Kingsfall,60,13,13,1.80,15, 0,641,6,,,,,
43,2,31605,42.50,8192,19099,65,5Glacial Blade,60,13,13,1.80,15, 0,633,3,,,,,
44,2,31686,47.81,8192,19166,66,4Black Amnesty,60,13,13,1.60,15, 0,601,3,,,,,
45,2,26679,41.33,8192,13984,63,5Darrowspike,57,13,13,1.50,15, 0,599,1,1,,,,
46,2,20311,28.06,8192,9467,47,6Gahz'rilla Fang,42,13,13,1.80,15, 0,587,1,,,,,
47,2,18264,24.00,8192,9384,36,5Stonevault Shiv,31,13,13,1.50,15, 0,576,1,,,,,
48,2,25614,40.71,8192,13368,62,5Bonescraper,57,13,13,1.40,15, 0,560,1,,,,,
49,2,20273,36.67,8192,10828,56,5Dire Nail,51,13,13,1.50,15, 0,556,1,,,,,
50,2,34111,50.56,8192,17071,69,4Gutgore Ripper,60,13,13,1.80,15, 0,548,1,,,,,
51,2,31337,42.14,8192,18878,65,4Sorcerous Dagger,60,21,21,1.40,15, 0,518,1,,,,,
52,2,30724,40.71,8192,18372,62,5Blade of the New Moon,57,21,21,1.40,15, 0,489,2,,,,,
53,2,6439,11.47,8192,5540,23,6Pearl-handled Dagger,18,13,13,1.70,15, 0,482,1,,,,,
54,2,28312,26.67,8192,11856,45,6Ceremonial Elven Blade,40,13,13,1.80,15, 0,442,1,1,,,,
55,2,32074,21.18,8192,19545,33,5Scout's Blade,28,13,13,1.70,15, 0,441,3,,,,,
56,2,35589,22.86,8192,23168,35,5Scorn's Focal Dagger,30,13,13,1.40,15, 0,440,6,,,,,
57,2,20593,15.59,8192,6681,32,7Thornspike,27,13,13,1.70,15, 0,439,1,,,,,
58,2,32648,41.65,8192,20214,65,4Mindfang,60,13,13,1.70,15, 0,425,4,,,35,,
59,2,30724,37.50,8192,24222,57,5The Shadowfoot Stabber,52,13,13,1.80,15, 0,395,6,,,,,
60,2,20589,16.33,8192,3413,25,5Doomspike,20,13,13,1.50,15, 0,392,1,,,,,
61,2,20333,23.93,8192,6331,36,5Howling Blade,31,13,13,1.40,15, 0,383,1,,,,,
62,2,20354,10.00,8192,5627,20,6Relic Blade,15,13,13,1.80,15, 0,379,1,1,,,,
63,2,35246,65.31,8192,23044,83,4Harbinger of Doom,60,13,13,1.60,15, 0,364,6,,,,,
64,2,20594,20.53,8192,1465,38,6Tigerbane,33,13,13,1.90,15, 0,363,1,,,,,
65,2,20592,16.75,8192,4454,26,5Talon of Vultros,21,13,13,2.00,15, 0,363,1,,,,,
66,2,33734,51.67,8192,21404,70,4Dagger of Veiled Shadows,60,13,13,1.80,15, 0,359,5,,8,,,
67,2,25609,37.67,8192,11922,57,5Blood-etched Blade,52,13,13,1.50,15, 0,356,1,,,,,
68,2,4119,18.67,8192,12259,36,6Glinting Steel Dagger,31,13,13,1.50,15, 0,354,1,,,,,
69,2,35094,41.41,8192,22688,66,5Verimonde's Last Resort,,21,21,1.40,15, 0,345,6,,,,,
70,2,22721,33.89,8192,12531,51,5Searing Needle,46,13,13,1.80,15, 0,323,1,,,,,
71,2,24990,9.00,8192,14151,18,6Chanting Blade,13,13,13,1.50,15, 0,311,1,,,,,
72,2,20369,16.67,8192,4446,26,5Blackvenom Blade,21,13,13,1.80,15, 0,310,1,,,,,
73,2,34513,66.39,8192,21126,84,4Death's Sting,60,13,13,1.80,15, 0,307,5,,,,,
74,2,6443,40.77,8192,18392,62,5Distracting Dagger,57,22,22,1.30,15, 0,291,2,,,,,
75,2,29706,41.47,8192,17070,70,4Fang of the Mystics,60,13,13,1.50,15, 0,280,2,,,,,
76,2,22247,16.75,8192,12247,32,6Broad Bladed Knife,27,13,13,2.00,15, 0,268,1,,,,,
77,2,20376,31.56,8192,5616,47,5Gutwrencher,42,13,13,1.60,15, 0,253,1,,,,,
78,2,20297,26.58,8192,10703,45,6Fiendish Skiv,38,13,13,1.90,15, 0,251,1,2,,,,
79,2,22248,17.50,8192,12248,34,6Daring Dirk,29,13,13,1.60,15, 0,248,1,,,,,
80,2,20475,25.00,8192,9680,43,6Tok'kar's Murloc Shanker,35,13,13,1.60,15, 0,244,1,2,,,,
81,2,20605,10.00,8192,2908,20,6Thornblade,16,13,13,1.60,15, 0,236,1,1,,,,
82,2,28789,39.44,8192,12582,60,5Keris of Zul'Serak,55,13,13,1.80,15, 0,234,1,,,,,
83,2,20570,35.67,8192,10697,60,6Enchanted Azsharite Felbane Dagger,45,13,13,1.50,15, 0,234,1,2,,,,
84,2,6434,10.00,8192,3848,20,6Big Bronze Knife,15,13,13,1.90,15, 0,232,1,,,,,
85,2,23791,40.31,8192,13218,61,5Fang of the Crystal Spider,56,13,13,1.60,15, 0,231,1,,,,,
86,2,20573,25.71,8192,3187,44,6Sacrificial Kris,39,13,13,1.40,15, 0,222,1,,,,,
87,2,25611,35.71,8192,12062,60,6Skilled Fighting Blade,50,13,13,1.40,15, 0,219,1,1,,,,
88,2,34849,42.50,8192,22377,65,5The Thunderwood Poker,60,13,13,1.80,15, 0,215,5,,,,,
89,2,32074,29.12,8192,19544,43,5Scout's Blade,38,13,13,1.70,15, 0,214,3,,,,,
90,2,33107,39.47,8192,20657,60,5Crystal Tipped Stiletto,55,13,13,1.90,15, 0,212,4,,,,,
91,2,32075,21.18,8192,19549,33,5Sentinel's Blade,28,13,13,1.70,15, 0,210,3,,,,,
92,2,20349,11.11,8192,6448,22,6Tail Spike,17,13,13,1.80,15, 0,210,1,,,,,
93,2,33992,57.35,8192,21522,76,4Shadowsong's Sorrow,60,13,13,1.70,15, 0,206,5,,,,,
94,2,20315,32.86,8192,10625,49,5Stealthblade,44,13,13,1.40,15, 0,205,1,,,,,
95,2,32575,49.74,8192,19859,68,4Fang of the Faceless,60,13,13,1.90,15, 0,199,4,,,,,
96,2,32075,15.29,8192,20443,23,5Sentinel's Blade,18,13,13,1.70,15, 0,195,3,,,,,
97,2,6445,12.78,8192,3490,25,6Deadly Bronze Poniard,20,13,13,1.80,15, 0,194,1,,,,,
98,2,31864,55.28,8192,19346,74,4Dragonfang Blade,60,13,13,1.80,15, 0,193,3,,,,,
99,2,21620,41.50,8192,20720,65,5Dark Whisper Blade,60,21,21,1.40,15, 0,192,4,,,,,
100,2,32648,41.65,8192,20070,65,4Sageclaw,60,13,13,1.70,15, 0,179,4,,,35,,
101,2,32075,29.12,8192,19548,43,5Sentinel's Blade,38,13,13,1.70,15, 0,177,3,,,,,
102,2,22136,3.33,8192,2494,8,7Stiletto,3,13,13,1.50,15, 0,174,1,,,,,
103,2,20596,13.61,8192,5752,26,6Wyvern Tailspike,21,13,13,1.80,15, 0,172,1,,,,,
104,2,31865,42.33,8192,19347,77,4Claw of Chromaggus,60,13,13,1.50,15, 0,164,3,,,,,
105,2,30827,37.67,8192,18491,57,5Lorespinner,,21,21,1.50,15, 0,161,2,,,,,
106,2,34478,41.50,8192,21802,68,5The Lost Kris of Zedd,60,21,21,1.50,15, 0,158,5,,,,,
107,2,34142,60.59,8192,21244,79,4Blessed Qiraji Pugio,60,13,13,1.70,15, 0,156,5,,,,,
108,2,33991,41.50,8192,21523,76,4Fang of Korialstrasz,60,21,21,1.80,15, 0,151,5,,,,,
109,2,31381,59.50,8192,18840,78,4High Warlord's Razor,60,13,13,2.00,15, 0,150,2,,,,,
110,2,6443,14.62,8192,2819,28,6Cross Dagger,23,13,13,1.30,15, 0,150,1,,,,,
111,2,20435,5.31,8192,1917,10,6Jeweled Dagger,5,13,13,1.60,15, 0,148,1,,,,,
112,2,20396,10.00,8192,3184,20,6Hook Dagger,15,13,13,1.50,15, 0,147,1,,,,true,
113,2,32074,15.29,8192,20441,23,5Scout's Blade,18,13,13,1.70,15, 0,137,3,,,,,
114,2,28199,9.00,8192,15443,18,6Kris of Orgrimmar,9,13,13,1.50,15, 0,137,1,2,,,,
115,2,31379,59.50,8192,18838,78,4Grand Marshal's Dirk,60,13,13,2.00,15, 0,136,2,,,,,
116,2,20439,13.75,8192,4449,27,6Naraxis' Fang,22,13,13,1.60,15, 0,136,1,,,,,
117,2,32075,41.47,8192,19546,63,5Sentinel's Blade,58,13,13,1.70,15, 0,133,3,,,,,
118,2,28520,28.00,8192,4088,47,6Dreadblade,42,13,13,1.50,15, 0,129,1,,,,,
119,2,3175,23.82,8192,15244,42,6Razor Blade,37,13,13,1.70,15, 0,126,1,,,,,
120,2,33095,52.50,8192,20578,71,4Emerald Dragonfang,60,13,13,1.80,15, 0,123,4,,,,,
121,2,28568,15.71,8192,15242,30,6Honed Stiletto,25,13,13,1.40,15, 0,123,1,,,,,
122,2,26433,33.67,8192,15706,57,6Hunt Tracker Blade,49,13,13,1.50,15, 0,119,1,,,,,
123,2,24046,41.33,8192,13360,63,5Gift of the Elven Magi,58,13,13,1.50,15, 0,116,1,,,,,
124,2,6440,5.94,8192,2140,11,6Carving Knife,6,13,13,1.60,15, 0,116,1,,,,,
125,2,20574,40.83,8192,18758,62,5Specter's Blade,57,13,13,1.80,15, 0,109,1,,,,,
126,2,20472,12.67,8192,10049,25,6Diabolist's Blade,,13,13,1.50,15, 0,108,1,,256,,,
127,2,28327,38.24,8192,15247,64,6Bloodstrike Dagger,59,13,13,1.70,15, 0,105,1,,,,,
128,2,20414,13.44,8192,15241,26,6Battle Knife,21,13,13,1.60,15, 0,105,1,,,,true,
129,2,6555,37.50,8192,22266,57,5Flarethorn,52,13,13,1.80,15, 0,104,5,,,,,
130,2,20411,9.64,8192,5279,20,6Harpy Skinner,12,13,13,1.40,15, 0,104,1,2,,,,
131,2,28779,35.71,8192,11635,54,5Hookfang Shanker,49,13,13,1.40,15, 0,100,1,,,,,
132,2,35709,65.28,8192,22804,83,4Maexxna's Fang,60,13,13,1.80,15, 0,97,6,,,,,
133,2,22258,21.43,8192,12260,39,6Searing Golden Blade,34,13,13,1.40,15, 0,96,1,,,,,
134,2,26464,35.59,8192,15783,60,6Beasthunter Dagger,53,13,13,1.70,15, 0,94,1,2,,,,
135,2,34859,41.37,8192,22379,65,5Shivsprocket's Shiv,60,21,21,1.50,15, 0,92,5,,,,,
136,2,20473,7.19,8192,2632,14,6Curved Dagger,9,13,13,1.60,15, 0,87,1,,,,,
137,2,6459,9.67,8192,899,19,6Venom Web Fang,14,13,13,1.50,15, 0,86,1,,,,,
138,2,20407,8.89,8192,2089,18,6Scrimshaw Dagger,14,13,13,1.80,15, 0,84,1,1,,,,
139,2,33734,41.67,8192,21416,70,4Kris of Unspoken Names,60,13,13,1.50,15, 0,83,5,,256,,,
140,2,36045,41.50,8192,23451,78,4Grand Marshal's Mageblade,60,13,13,2.00,15, 0,80,6,,,,,
141,2,3006,6.33,8192,4974,12,6Compact Fighting Knife,5,13,13,1.50,15, 0,79,1,2,,,,
142,2,36080,41.50,8192,23466,78,4High Warlord's Spellblade,60,13,13,2.00,15, 0,77,6,,,,,
143,2,20492,8.93,8192,2020,18,6Hollowfang Blade,13,13,13,1.40,15, 0,77,1,,,,,
144,2,20430,8.53,8192,4571,17,6War Knife,12,13,13,1.70,15, 0,75,1,,,,true,
145,2,32074,41.47,8192,19542,63,5Scout's Blade,58,13,13,1.70,15, 0,74,3,,,,,
146,2,6448,29.69,8192,15245,50,6Vorpal Dagger,45,13,13,1.60,15, 0,74,1,,,,,
147,2,33894,48.16,8192,21498,66,4Qiraji Sacrificial Dagger,60,13,13,1.90,15, 0,73,5,,,,,
148,2,32576,41.31,8192,19903,65,4Fang of Venoxis,60,21,21,1.30,15, 0,73,4,,,,,
149,2,20347,9.67,8192,2169,21,7Buzzer Blade,16,13,13,1.50,15, 0,73,1,,,,,
150,2,20491,7.50,8192,5112,15,6Ritual Blade,10,13,13,1.40,15, 0,71,1,,,,,
151,2,20299,36.94,8192,15246,62,6Demon Blade,57,13,13,1.80,15, 0,69,1,,,,,
152,2,20592,40.00,8192,14024,61,5Frightalon,56,13,13,1.40,15, 0,69,1,,,,,
153,2,22137,7.14,8192,2207,16,7Jambiya,11,13,13,1.40,15, 0,68,1,,,,,
