armor,classs,displayid,flags2,id,level,name,reqlevel,slot,slotbak,subclass,firstseenpatch,avgbuyout,dmgrange,dura,sellprice,popularity,contentPhase,bop,sta,str,itemset,commondrop,agi,int,spi,buyprice,def,frores,reqclass,classes,manargn,arcres,firres,natres,shares,maxcount,splheal,side,parrypct,splpwr,mlecritstrkpct,rgdcritstrkpct,mlehitpct,rgdhitpct,atkpwr,rgdatkpwr,arcsplpwr,splcritstrkpct,splpen,splhitpct,shasplpwr,dodgepct,reqfaction,reqrep,blockamount,blockpct,natsplpwr,healthrgn,cooldown,reqskill,reqskillrank,frosplpwr,firsplpwr,reqspell,speed,c,c2,n,t,ti,sourcemore,icon,s,sheathtype,dmg,q,holsplpwr,z
148,4,27350,8192,9972,42,6Embossed Plate Bracers,40,9,9,4, 0,5500,1.00,40,2475,4,1},0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,4,26829,8192,14965,49,6High Chief's Bindings,44,9,9,4, 0,15500,1.00,40,4450,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,4,27406,8192,10171,54,6Templar Bracers,49,9,9,4, 0,17500,1.00,40,6018,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,4,26646,8192,14903,40,6Saltstone Armsplints,40,9,9,4, 0,10000,1.00,40,2173,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,4,26454,8192,14941,42,6Warbringer's Armsplints,40,9,9,4, 0,5045,1.00,40,2515,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,4,26794,8192,14914,46,6Jade Bracers,41,9,9,4, 0,8000,1.00,40,3590,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,4,26869,8192,14923,50,6Lofty Armguards,45,9,9,4, 0,13000,1.00,40,4604,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,4,26878,8192,14869,58,6Warleader's Bracers,53,9,9,4, 0,19801,1.00,40,7577,9,1,0,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,4,35555,8192,23090,63,5Bracers of Undead Slaying,58,9,9,4, 0,,1.00,45,11572,9,6,0,10,,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,4,9388,8192,8083,53,8Light Plate Bracers,48,9,9,4, 0,,1.00,40,2261,10,1,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,4,27933,8192,14938,56,6Heroic Bracers,51,9,9,4, 0,15000,1.00,40,6470,10,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,4,26887,8192,14983,59,6Exalted Armsplints,54,9,9,4, 0,50000,1.00,40,7985,10,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,4,27420,8192,10282,56,6Emerald Vambraces,51,9,9,4, 0,15500,1.00,40,6712,11,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,4,27345,8192,8156,40,6Jouster's Wristguards,40,9,9,4, 0,5500,1.00,40,2219,12,1,0,8,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,4,27903,8192,14910,44,6Brutish Armguards,40,9,9,4, 0,9800,1.00,40,3033,12,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,4,26363,8192,10375,57,6Imbued Plate Vambraces,52,9,9,4, 0,19990,1.00,40,7116,14,1,0,12,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,4,27368,8192,10094,45,6Gothic Plate Vambraces,40,9,9,4, 0,7449,1.00,40,3311,15,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,4,27373,8192,8273,46,6Valorous Wristguards,41,9,9,4, 0,9500,1.00,40,3574,15,1,0,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,4,26815,8192,14832,41,6Symbolic Vambraces,40,9,9,4, 0,4999,1.00,40,2363,16,1,0,7,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,4,25829,8192,8090,50,7Platemail Bracers,45,9,9,4, 0,,1.00,40,2687,18,1,0,,,,,,,,13439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,4,19760,8192,14861,52,6Vanguard Vambraces,47,9,9,4, 0,8911,1.00,40,5045,19,1,0,11,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,4,27329,8192,8137,43,6Chromite Bracers,40,9,9,4, 0,7500,1.00,40,2807,21,1,0,8,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,4,27362,8192,9285,41,6Field Plate Vambraces,40,9,9,4, 0,5000,1.00,40,2388,22,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,4,26821,8192,14853,48,6Sunscale Wristguards,43,9,9,4, 0,6900,1.00,40,4174,22,1,0,8,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,4,26360,8192,10391,60,6Hyperion Vambraces,55,9,9,4, 0,20000,1.00,40,8193,22,1,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,4,26685,8192,14834,43,6Tyrant's Armguards,40,9,9,4, 0,9100,1.00,40,2777,23,1,0,7,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,4,27426,8192,10127,49,6Revenant Bracers,44,9,9,4, 0,10000,1.00,40,4350,23,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,4,27394,8192,8311,53,6Alabaster Plate Vambraces,48,9,9,4, 0,,1.00,40,5844,23,1,0,12,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,4,26857,8192,14974,55,6Glorious Bindings,50,9,9,4, 0,18027,1.00,40,6009,23,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
