classs,flags2,id,level,name,slot,subclass,firstseenpatch,displayid,dmgrange,manargn,popularity,bop,spi,sta,agi,cooldown,sellprice,side,maxcount,reqlevel,mana,splheal,firsplpwr,armor,int,buyprice,reqskill,reqskillrank,health,mlehastepct,sheathtype,str,reqclass,classes,mlecritstrkpct,rgdcritstrkpct,dodgepct,commondrop,avgbuyout,contentPhase,slotbak,rgdhastepct,dmg,blockpct,frosplpwr,shasplpwr,c,c2,n,t,ti,sourcemore,icon,s,healthrgn,z,splpwr,dd,subsubclass,bd,q,speed,def,reqfaction,reqrep,splcritstrkpct,spldmg,mlehitpct,rgdhitpct,mleatkpwr,blockamount,rgdatkpwr,atkpwr,splhitpct
0,8192,22036,1,7QAEnchant Bracer +4 Mana\\5,0,6, 0,7899,1.00,4,4},0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,17893,1,7QAEnchant Shield +9 Spirit,0,6, 0,7899,1.00,,4,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,17892,1,7QAEnchant Shield +8 Frost Resistance,0,6, 0,7899,1.00,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,17828,1,7QAEnchant Bracer +9 Stamina,0,6, 0,7899,1.00,,4,0,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,16104,1,7QAEnchhelp Cloak +7 Fire Resistance,0,6, 0,7899,1.00,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22293,1,7Package of Cards,0,0, 0,34745,1.00,,4,0,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22169,1,7Gift of Friendship,0,0, 0,34674,1.00,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22144,1,7Bluffwatcher's Card,0,0, 0,34736,1.00,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22122,1,7Pledge of Loyalty,0,0, 0,34755,1.00,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,21559,1,7Small Green Rocket,0,0, 0,34280,1.00,,4,0,,,,1000,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,21557,1,7Small Red Rocket,0,0, 0,34281,1.00,,4,0,,,,1000,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,12440,1,7Magic Knucklebone (DND),0,0, 0,11947,1.00,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,7627,1,7Dolanaar Delivery,0,0, 0,15590,1.00,,4,0,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,6927,1,7Big Will's Ear,0,0, 0,13433,1.00,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,3087,15,7Mug of Shimmer Stout,0,1, 0,18115,1.00,,4,0,,,,120000,11,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,19305,25,7Pickled Kodo Foot,0,5, 0,31802,1.00,,4,0,,,,1000,25,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,11666,50,5[PH] Greater Arcane Amalgamation (AC\/FR),0,6, 0,4775,1.00,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,11663,50,5[PH] Greater Arcane Amalgamation (MANA\/FR),0,6, 0,4775,1.00,,4,0,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,18154,,7Blizzard Stationery,0,0, 0,30658,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22588,1,7QAEnchant Cloak +10 Shadow Resistance,0,6, 0,7899,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22585,1,7QAEnchant Gloves +5 Mining,0,6, 0,7899,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22040,1,7QAEnchant Cloak +15 Nature Resistance,0,6, 0,7899,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22037,1,7QAEnchant Bracer +24 Healing,0,6, 0,7899,1.00,,5,0,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22034,1,7QAEnchant Gloves +2% Threat,0,6, 0,7899,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22033,1,7QAEnchant Gloves +15 Agility,0,6, 0,7899,1.00,,5,0,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22030,1,7QAEnchant Gloves +20 Fire Damage,0,6, 0,7899,1.00,,5,0,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22023,1,7QAEnchant Weapon +20 Spirit,0,6, 0,7899,1.00,,5,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22020,1,7QAEnchant Weapon +15 Agility,0,6, 0,7899,1.00,,5,0,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,17891,1,7QAEnchant Shield +7 Stamina,0,6, 0,7899,1.00,,5,0,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,17885,1,7QAEnchant Cloak +70 Armor,0,6, 0,7899,1.00,,5,0,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,8243,1,7Scooby Snack,0,5, 0,16547,1.00,,5,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22765,1,7Mildewed Letter,0,0, 0,811,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22296,1,7Basket of Flowers,0,0, 0,6524,1.00,,5,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22289,1,7Stack of Cards,0,0, 0,34741,1.00,,5,0,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22283,1,7Sack of Homemade Bread,0,0, 0,2588,1.00,,5,0,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22178,1,7Pledge of Friendship,0,0, 0,34542,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22176,1,7Homemade Bread,0,0, 0,21203,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22174,1,7Romantic Poem,0,0, 0,34748,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22172,1,7Gift of Friendship,0,0, 0,34542,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22170,1,7Gift of Friendship,0,0, 0,34542,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22165,1,7Gift of Adoration,0,0, 0,34538,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22163,1,7Pledge of Friendship,0,0, 0,34542,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22161,1,7Pledge of Friendship,0,0, 0,34542,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22140,1,7Sentinel's Card,0,0, 0,34736,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22123,1,7Pledge of Loyalty,0,0, 0,34751,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,21981,1,7Gift of Adoration,0,0, 0,34538,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,21962,1,7[PH] Valentine Quest Item-UncommonStormwind,0,0, 0,12310,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,21923,1,7[PH] Picnic Parcel,0,0, 0,22614,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,21833,1,7Cologne Bottle,0,0, 0,34536,1.00,,5,0,,,,120000,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,21829,1,7Perfume Bottle,0,0, 0,34537,1.00,,5,0,,,,120000,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,21720,1,7Large Yellow Rocket Cluster,0,0, 0,34360,1.00,,5,0,,,,1000,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,21595,1,7Large Yellow Rocket,0,0, 0,34291,1.00,,5,0,,,,1000,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,20677,1,7Decoded Twilight Text,0,0, 0,7695,1.00,,5,0,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,17890,1,7zzOLD - QAEnchant Shield +7 Spirit,0,0, 0,7899,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,17886,1,7zzOLD - QAEnchant Weapon Winter's Might,0,0, 0,7899,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,11616,1,7DEBUG Samophlange Manual Page,0,0, 0,7629,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,6852,1,7Eternal Eye,0,0, 0,13129,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,6781,1,7Bartleby's Mug,0,0, 0,18100,1.00,,5,0,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,16166,5,7Bean Soup,0,5, 0,33395,1.00,,5,0,,,,1000,1,,,1,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,17308,5,7Purple Ribboned Holiday Gift,0,0, 0,29445,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,17305,5,7Green Ribboned Holiday Gift,0,0, 0,29441,1.00,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,6644,5,7Bloated Mackerel,0,0, 0,24697,1.00,,5,0,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,5049,5,7Self-locking Ironpaper,0,0, 0,6405,1.00,,5,0,,,,,12,,,,,,,,,,39,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,19005,10,7Minor Healthstone,0,0, 0,8026,1.00,,5,0,,,,120000,,,1,1,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,1400,12,7Swiftfeather Token,0,0, 0,6418,1.00,,5,0,,,,300000,337,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,6646,15,7Bloated Albacore,0,0, 0,24704,1.00,,5,0,,,,,31,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,19006,22,7Lesser Healthstone,0,0, 0,8026,1.00,,5,0,,,,120000,,,1,12,,,,,,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,5511,22,7Lesser Healthstone,0,0, 0,8026,1.00,,5,0,,,,120000,,,1,12,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,1119,25,7Bottled Spirits,0,5, 0,18077,1.00,,5,0,,,,1000,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,1450,25,7Potion of Fervor,0,1, 0,1026,1.00,,5,0,,,,120000,10,,,15,,,,,,,,,,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,5223,28,7Empty Mana Gem,0,0, 0,1262,1.00,,5,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,5229,38,7Empty Greater Bloodstone,0,0, 0,6007,1.00,,5,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,10921,48,7Wound Poison III,0,-3, 0,13708,1.00,,5,0,,,,,125,,,48,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,23696,60,7[PH] Potion of Heightened Senses [DEP],0,1, 0,15788,1.00,,5,0,,,,,,,,1,,,,,,,,,,,,,,,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,23245,,7[PH] Everburning Elixir,0,0, 0,35738,1.00,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22058,,7Valentine's Day Stationery,0,0, 0,34508,1.00,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,12762,,7Secrecy of Plans,0,0, 0,23201,1.00,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,9311,,7Default Stationery,0,0, 0,7798,1.00,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,5015,,7Wrapped Item (PT),0,0, 0,6429,1.00,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22584,1,7QAEnchant Cloak +3 Agility,0,6, 0,7899,1.00,,6,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22043,1,7QAEnchant Cloak +1% Dodge,0,6, 0,7899,1.00,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22039,1,7QAEnchant Cloak +15 Fire Resistance,0,6, 0,7899,1.00,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22032,1,7QAEnchant Gloves +30 Healing,0,6, 0,7899,1.00,,6,0,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22024,1,7QAEnchant Weapon Unholy,0,6, 0,7899,1.00,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22022,1,7QAEnchant Weapon +15 Strength,0,6, 0,7899,1.00,,6,0,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,17894,1,7QAEnchant Boots +7 Agility,0,6, 0,7899,1.00,,6,0,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22300,1,7Undercity Pledge Collection,0,0, 0,34750,1.00,,6,0,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22299,1,7Sheaf of Cards,0,0, 0,34749,1.00,,6,0,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8192,22297,1,7Thunder Bluff Pledge Collection,0,0, 0,34747,1.00,,6,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
