classs,flags2,id,level,name,reqclass,reqlevel,slot,subclass,firstseenpatch,classes,displayid,dmgrange,sellprice,popularity,bop,skill,reqskill,reqskillrank,contentPhase,avgbuyout,commondrop,reqspell,buyprice,n,t,ti,z,sourcemore,c2,reqfaction,reqrep,c,dd,maxcount,bd,side
9,8192,8919,32,7Libram: Holy Strike V,2,32,0,0, 0,2,1155,1.00,2750,6},0,,,,,,,,,,,,,,,,,,,,,
9,8192,8828,32,7Tome of Frostbolt VI,128,32,0,0, 0,128,1103,1.00,2750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,8826,32,7Tome of Arcane Missiles IV,128,32,0,0, 0,128,1103,1.00,2750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,5671,32,7Libram: Seal of Might III,2,32,0,0, 0,2,1155,1.00,2500,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,4287,32,7Codex of Nullify Disease II,16,32,0,0, 0,16,1143,1.00,2500,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,4175,32,7Tablet of Lightning Shield IV,64,32,0,0, 0,64,5563,1.00,2750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,3092,32,7Tome of Flamestrike III,128,32,0,0, 0,128,1103,1.00,2750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,9092,34,7Tablet of Sentry Totem,64,34,0,0, 0,64,5563,1.00,3250,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,8771,34,7Book of Rejuvenation VI,1024,34,0,0, 0,1024,1317,1.00,3250,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,8770,34,7Book of Moonfire VI,1024,34,0,0, 0,1024,1317,1.00,3250,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,5714,34,7Tablet of Ensnaring Totem II,64,34,0,0, 0,64,5563,1.00,3000,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,4180,34,7Tablet of Ethereal Form II,64,34,0,0, 0,64,5563,1.00,3000,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,9227,36,7Grimoire of Drain Soul III,256,36,0,0, 0,256,1246,1.00,4500,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,9226,36,7Grimoire of Health Funnel IV,256,36,0,0, 0,256,1246,1.00,3750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,9095,36,7Tablet of Earth Shock V,64,36,0,0, 0,64,5563,1.00,3750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,9094,36,7Tablet of Flametongue Weapon III,64,36,0,0, 0,64,5563,1.00,3750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,9093,36,7Tablet of Mana Font Totem II,64,36,0,0, 0,64,5563,1.00,3750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,8981,36,7Codex of Mind Soothe II,16,36,0,0, 0,16,1143,1.00,3750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,8835,36,7Tome of Fireball VII,128,36,0,0, 0,128,1103,1.00,3750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,8832,36,7Tome of Blizzard III,128,36,0,0, 0,128,1103,1.00,3750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,8772,36,7Book of Regrowth V,1024,36,0,0, 0,1024,1317,1.00,3750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,5723,36,7Grimoire of Curse of Sargeras III,256,36,0,0, 0,256,1246,1.00,3750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,5722,36,7Grimoire of Siphon Mana II,256,36,0,0, 0,256,1246,1.00,4500,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,4277,36,7Codex of Shadow Word: Befuddle II,16,36,0,0, 0,16,1143,1.00,3750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,4183,36,7Tablet of Healing Totem V,64,36,0,0, 0,64,5563,1.00,3750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,4172,36,7Tablet of Thunderclap II,64,36,0,0, 0,64,5563,1.00,3750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,1651,36,7Codex of Holy Word: Shield VI,16,36,0,0, 0,16,1143,1.00,3750,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,9096,38,7Tablet of Disease Cleansing Totem,64,38,0,0, 0,64,5563,1.00,4500,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,8900,38,7Book of Entangling Roots IV,1024,38,0,0, 0,1024,1317,1.00,4500,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,8898,38,7Tome of Arcane Explosion IV,128,38,0,0, 0,128,1103,1.00,4500,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,8841,38,7Tome of Fire Blast V,128,38,0,0, 0,128,1103,1.00,4500,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,8788,38,7Book of Soothe Animal II,1024,38,0,0, 0,1024,1317,1.00,4500,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,8774,38,7Book of Healing Touch VII,1024,38,0,0, 0,1024,1317,1.00,4500,6,0,,,,,,,,,,,,,,,,,,,,,
9,8192,5725,38,7Grimoire of Pestilence III,256,38,0,0, 0,256,1246,1.00,4250,6,0,,,,,,,,,,,,,,,,,,,,,
