classs,displayid,flags2,id,level,name,reqlevel,slot,subclass,firstseenpatch,cooldown,dmgrange,maxcount,sellprice,popularity,contentPhase,bop,commondrop,dps,slotbak,speed,dmgmax1,dmgmin1,dmgtype1,mledmgmax,mledmgmin,mledps,mlespeed,sheathtype,buyprice,avgbuyout,reqskill,reqskillrank,dura,side,arcsplpwr,int,manargn,splheal,reqclass,classes,frosplpwr,firres,arcres,spi,frores,sta,splpwr,splhitpct,firsplpwr,shares,splcritstrkpct,shasplpwr,natres,agi,rgddmgmax,rgddmgmin,rgddps,rgdspeed,rgdatkpwr,atkpwr,str,mlehitpct,rgdhitpct,mlecritstrkpct,rgdcritstrkpct,armor,def,parrypct,holsplpwr,healthrgn,reqrace,races,natsplpwr,reqfaction,reqrep,splpen,feratkpwr,itemset
2,34365,8192,21713,1,7Elune's Candle,10,0,14, 0,3000,1.00,1,250,11,5},0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13853,8192,7170,20,8Twain Random Sword FOO,15,17,14, 0,,1.00,,692,16,1,0,true,150.00,17,0.50,100,50,0,100,50,150.00,0.50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13583,8192,6174,20,8Twain Random Sword,15,17,14, 0,,1.00,,694,19,1,0,true,150.00,17,0.50,100,50,0,100,50,150.00,0.50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6589,8192,4616,1,7Ryedol's Lucky Pick,,13,14, 0,,1.00,1,3,473,1,0,,1.00,13,1.50,2,1,0,2,1,1.00,1.50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8568,8192,5956,1,7Blacksmith Hammer,1,21,14, 0,,1.00,,3,504,1,0,,1.25,21,2.00,3,2,0,3,2,1.25,2.00,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6568,8192,2901,4,7Mining Pick,1,21,14, 0,,1.00,,16,529,1,0,,1.50,21,2.00,4,2,0,4,2,1.50,2.00,,81,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7494,8192,6219,10,7Arclight Spanner,,21,14, 0,,1.00,,144,1349,1,0,,2.71,21,2.40,8,5,0,8,5,2.71,2.40,3,,400,202,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6440,8192,7005,4,7Skinning Knife,1,13,14, 0,,1.00,,16,1941,1,0,,2.19,13,1.60,5,2,0,5,2,2.19,1.60,3,82,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7867,8192,5410,1,7OLDCeremonial Club,,0,14, 0,2000,1.00,,,4,1},1,,0.68,,2.2,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6567,8192,4704,1,7OLDCeremonial Club,,21,14, 0,2000,1.00,,3,6,1,1,,0.68,21,2.20,2,1,0,2,1,0.68,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
